"Label (Grouping)","United States!!Median earnings (dollars) !!Total!!Estimate","United States!!Median earnings (dollars) !!Total!!Margin of Error","United States!!Median earnings (dollars) !!Male!!Estimate","United States!!Median earnings (dollars) !!Male!!Margin of Error","United States!!Median earnings (dollars) !!Female!!Estimate","United States!!Median earnings (dollars) !!Female!!Margin of Error","United States!!Women's earnings as a percentage of men's earnings!!Estimate","United States!!Women's earnings as a percentage of men's earnings!!Margin of Error"
"Full-time, year-round workers 16 years and over with earnings","(X)","(X)","51,284","±57","41,453","±55","80.8%","±0.1"
"RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","",""
"    One race--","","","","","","","",""
"        White","(X)","(X)","53,640","±194","42,563","±150","79.3%","±0.4"
"        Black or African American","(X)","(X)","40,370","±148","35,963","±162","89.1%","±0.5"
"        American Indian and Alaska Native","(X)","(X)","38,887","±1,103","33,571","±767","86.3%","±3.0"
"        Asian","(X)","(X)","66,221","±499","51,824","±256","78.3%","±0.6"
"        Native Hawaiian and Other Pacific Islander","(X)","(X)","42,135","±1,510","35,879","±1,156","85.2%","±4.0"
"        Some other race","(X)","(X)","34,914","±421","29,762","±418","85.2%","±1.3"
"    Two or more races","(X)","(X)","47,002","±579","40,445","±393","86.0%","±1.3"
"Hispanic or Latino origin (of any race)","(X)","(X)","36,568","±145","31,364","±117","85.8%","±0.4"
"White alone, not Hispanic or Latino","(X)","(X)","58,014","±289","45,506","±94","78.4%","±0.4"
"EDUCATIONAL ATTAINMENT","","","","","","","",""
"    Population 25 years and over with earnings","40,069","±38","46,152","±79","32,679","±119","70.8%","±0.3"
"        Less than high school graduate","23,031","±136","27,219","±117","17,391","±113","63.9%","±0.5"
"        High school graduate (includes equivalency)","30,624","±56","36,134","±93","24,159","±137","66.9%","±0.4"
"        Some college or associate's degree","36,190","±62","43,685","±232","30,512","±65","69.8%","±0.4"
"        Bachelor's degree","52,484","±84","65,700","±172","45,233","±139","68.8%","±0.3"
"        Graduate or professional degree","71,097","±160","88,708","±962","60,691","±163","68.4%","±0.7"
"Full-time, year-round civilian workers 16 years and over with earnings","47,016","±71","51,421","±59","41,512","±55","80.7%","±0.1"
"    OCCUPATION","","","","","","","",""
"        Management occupations","75,597","±213","83,387","±898","64,266","±600","77.1%","±1.1"
"        Business and financial operations occupations","65,590","±288","75,902","±402","59,584","±729","78.5%","±1.0"
"        Computer and mathematical occupations","83,469","±736","87,012","±446","75,555","±679","86.8%","±0.9"
"        Architecture and engineering occupations","81,751","±287","83,593","±1,068","72,047","±737","86.2%","±1.4"
"        Life, physical, and social science occupations","66,916","±608","71,799","±944","62,345","±700","86.8%","±1.6"
"        Community and social services occupations","45,541","±253","47,178","±537","44,800","±472","95.0%","±1.5"
"        Legal occupations","90,413","±866","122,231","±1,958","67,050","±744","54.9%","±1.0"
"        Education, training, and library occupations","50,307","±142","57,802","±798","47,033","±231","81.4%","±1.2"
"        Arts, design, entertainment, sports, and media occupations","52,499","±529","57,128","±679","50,300","±392","88.0%","±1.2"
"        Healthcare practitioner and technical occupations","62,232","±148","80,092","±1,181","60,334","±159","75.3%","±1.1"
"        Healthcare support occupations","29,848","±225","32,119","±432","29,262","±224","91.1%","±1.3"
"        Protective service occupations","51,703","±329","55,080","±520","41,728","±465","75.8%","±1.0"
"        Food preparation and serving related occupations","23,747","±201","26,046","±206","21,710","±123","83.4%","±0.8"
"        Building and grounds cleaning and maintenance occupations","27,562","±269","31,124","±164","22,449","±149","72.1%","±0.6"
"        Personal care and service occupations","26,054","±166","31,141","±297","24,682","±254","79.3%","±1.1"
"        Sales and related occupations","45,567","±234","52,335","±160","35,512","±229","67.9%","±0.5"
"        Office and administrative support occupations","37,050","±80","40,709","±172","36,261","±82","89.1%","±0.4"
"        Farming, fishing, and forestry occupations","27,462","±481","30,115","±308","21,200","±376","70.4%","±1.5"
"        Construction and extraction occupations","41,334","±136","41,422","±134","35,760","±1,118","86.3%","±2.7"
"        Installation, maintenance, and repair occupations","46,973","±216","47,168","±214","41,113","±652","87.2%","±1.4"
"        Production occupations","37,542","±263","41,565","±119","29,317","±289","70.5%","±0.7"
"        Transportation occupations","42,227","±170","44,173","±581","31,941","±429","72.3%","±1.4"
"        Material moving occupations","30,841","±132","31,790","±148","25,935","±263","81.6%","±0.9"
"INDUSTRY","","","","","","","",""
"    Agriculture, forestry, fishing and hunting","32,506","±752","35,303","±397","26,551","±610","75.2%","±1.9"
"    Mining, quarrying, and oil and gas extraction","69,223","±2,137","70,155","±1,288","65,596","±2,317","93.5%","±3.9"
"    Construction","45,150","±197","45,302","±219","42,932","±893","94.8%","±2.1"
"    Manufacturing","50,379","±111","52,396","±111","40,747","±194","77.8%","±0.4"
"    Wholesale trade","50,850","±171","52,082","±208","44,526","±874","85.5%","±1.7"
"    Retail trade","35,003","±207","39,262","±396","30,901","±114","78.7%","±0.8"
"    Transportation and warehousing","47,341","±273","50,170","±176","40,682","±301","81.1%","±0.6"
"    Utilities","71,458","±529","75,268","±865","61,189","±551","81.3%","±1.2"
"    Information","62,126","±333","69,099","±1,467","53,203","±1,305","77.0%","±2.5"
"    Finance and insurance","61,979","±266","84,987","±1,279","50,906","±215","59.9%","±0.9"
"    Real estate and rental and leasing","48,910","±896","51,131","±376","45,553","±644","89.1%","±1.3"
"    Professional, scientific, and technical services","76,075","±235","88,891","±1,098","60,802","±236","68.4%","±0.9"
"    Management of companies and enterprises","73,404","±3,276","91,375","±2,611","60,995","±1,571","66.8%","±2.3"
"    Administrative and support and waste management services","35,236","±203","36,582","±254","31,870","±213","87.1%","±0.9"
"    Educational services","50,554","±105","55,229","±292","48,265","±244","87.4%","±0.6"
"    Health care and social assistance","43,657","±341","56,399","±384","40,987","±117","72.7%","±0.5"
"    Arts, entertainment, and recreation","38,082","±623","40,787","±324","35,555","±434","87.2%","±1.3"
"    Accommodation and food services","26,705","±134","29,530","±374","24,328","±274","82.4%","±1.4"
"    Other services (except public administration)","36,354","±168","40,761","±200","31,515","±180","77.3%","±0.6"
"    Public administration","58,712","±638","65,230","±389","51,090","±190","78.3%","±0.5"
"CLASS OF WORKER","","","","","","","",""
"    Employee of private company workers","45,049","±93","50,401","±78","38,707","±153","76.8%","±0.3"
"    Self employed in own incorporated business workers","61,470","±230","66,311","±596","50,248","±407","75.8%","±0.9"
"    Private not-for-profit wage and salary workers","50,977","±144","55,814","±453","48,512","±351","86.9%","±0.9"
"    Local government workers","51,113","±128","55,901","±312","47,460","±237","84.9%","±0.6"
"    State government workers","51,133","±154","56,776","±392","47,534","±293","83.7%","±0.8"
"    Federal government workers","66,363","±346","70,280","±360","61,804","±351","87.9%","±0.6"
"    Self employed in own not incorporated business workers and unpaid family workers","36,340","±216","40,519","±195","30,194","±283","74.5%","±0.7"
"PERCENT ALLOCATED","","","","","","","",""
