"Label (Grouping)","United States!!Median earnings (dollars)!!Total!!Estimate","United States!!Median earnings (dollars)!!Total!!Margin of Error","United States!!Median earnings (dollars)!!Male!!Estimate","United States!!Median earnings (dollars)!!Male!!Margin of Error","United States!!Median earnings (dollars)!!Female!!Estimate","United States!!Median earnings (dollars)!!Female!!Margin of Error","United States!!Women's earnings as a percentage of men's earnings!!Estimate","United States!!Women's earnings as a percentage of men's earnings!!Margin of Error"
"Full-time, year-round workers 16 years and over with earnings","49,898","±130","52,989","±206","43,215","±182","81.6%","±0.4"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","",""
"        One race--","","","","","","","",""
"            White","(X)","(X)","57,003","±134","45,581","±108","80.0%","±0.2"
"            Black or African American","(X)","(X)","41,242","±131","37,402","±172","90.7%","±0.5"
"            American Indian and Alaska Native","(X)","(X)","40,623","±454","36,577","±593","90.0%","±1.6"
"            Asian","(X)","(X)","70,739","±483","56,001","±483","79.2%","±0.7"
"            Native Hawaiian and Other Pacific Islander","(X)","(X)","45,935","±1,843","38,836","±1,930","84.5%","±5.2"
"            Some other race","(X)","(X)","37,204","±198","31,341","±174","84.2%","±0.6"
"        Two or more races","(X)","(X)","50,637","±399","42,216","±407","83.4%","±1.0"
"        Hispanic or Latino origin (of any race)","(X)","(X)","40,303","±124","32,470","±172","80.6%","±0.4"
"        White alone, not Hispanic or Latino","(X)","(X)","61,233","±74","47,806","±174","78.1%","±0.3"
"EDUCATIONAL ATTAINMENT","","","","","","","",""
"    Population 25 years and over with earnings","41,801","±44","50,016","±57","35,728","±71","71.4%","±0.1"
"        Less than high school graduate","25,876","±94","30,725","±102","20,046","±113","65.2%","±0.4"
"        High school graduate (includes equivalency)","31,956","±42","38,906","±159","25,829","±94","66.4%","±0.4"
"        Some college or associate's degree","38,125","±148","46,610","±155","31,644","±65","67.9%","±0.3"
"        Bachelor's degree","56,344","±136","69,201","±502","47,895","±260","69.2%","±0.7"
"        Graduate or professional degree","75,495","±179","93,998","±962","63,912","±394","68.0%","±0.8"
"Full-time, year-round civilian workers 16 years and over with earnings","50,078","±54","53,544","±209","43,394","±181","81.0%","±0.4"
"    OCCUPATION","","","","","","","",""
"        Management occupations","78,315","±684","87,792","±963","66,767","±289","76.1%","±0.8"
"        Business and financial operations occupations","70,234","±184","80,061","±517","62,437","±198","78.0%","±0.6"
"        Computer and mathematical occupations","87,148","±410","91,377","±341","77,356","±902","84.7%","±1.0"
"        Architecture and engineering occupations","86,077","±368","87,639","±805","76,547","±850","87.3%","±1.3"
"        Life, physical, and social science occupations","71,201","±550","75,732","±945","66,846","±769","88.3%","±1.5"
"        Community and social services occupations","47,751","±444","49,699","±759","47,043","±328","94.7%","±1.5"
"        Legal occupations","96,362","±1,692","130,503","±3,006","71,530","±832","54.8%","±1.4"
"        Education, training, and library occupations","51,382","±148","60,576","±301","48,833","±323","80.6%","±0.7"
"        Arts, design, entertainment, sports, and media occupations","56,051","±513","60,198","±652","52,040","±381","86.4%","±1.1"
"        Healthcare practitioner and technical occupations","66,614","±245","85,126","±1,666","62,299","±173","73.2%","±1.4"
"        Healthcare support occupations","30,473","±101","32,452","±503","30,163","±112","92.9%","±1.4"
"        Protective service occupations","54,070","±760","57,824","±1,068","42,869","±1,260","74.1%","±2.6"
"        Food preparation and serving related occupations","25,694","±142","27,441","±239","23,440","±264","85.4%","±1.2"
"        Building and grounds cleaning and maintenance occupations","29,390","±237","31,831","±140","24,196","±238","76.0%","±0.9"
"        Personal care and service occupations","29,636","±502","33,951","±1,384","27,066","±226","79.7%","±3.3"
"        Sales and related occupations","46,454","±205","54,461","±673","36,458","±214","66.9%","±0.9"
"        Office and administrative support occupations","39,299","±182","43,475","±609","37,457","±115","86.2%","±1.2"
"        Farming, fishing, and forestry occupations","30,463","±320","31,640","±315","23,252","±1,016","73.5%","±3.3"
"        Construction and extraction occupations","42,942","±584","43,525","±595","35,282","±1,534","81.1%","±3.8"
"        Installation, maintenance, and repair occupations","50,152","±172","50,347","±168","41,472","±751","82.4%","±1.5"
"        Production occupations","40,136","±98","43,346","±375","30,856","±130","71.2%","±0.7"
"        Transportation occupations","45,487","±263","46,894","±259","32,462","±750","69.2%","±1.7"
"        Material moving occupations","31,293","±108","32,305","±130","26,999","±230","83.6%","±0.8"
"    INDUSTRY","","","","","","","",""
"        Agriculture, forestry, fishing and hunting","36,183","±327","37,435","±545","29,996","±1,018","80.1%","±2.9"
"        Mining, quarrying, and oil and gas extraction","75,403","±1,099","76,152","±1,079","69,598","±4,234","91.4%","±5.7"
"        Construction","48,307","±474","48,605","±505","46,808","±610","96.3%","±1.5"
"        Manufacturing","51,704","±127","55,967","±248","41,922","±218","74.9%","±0.5"
"        Wholesale trade","52,089","±187","55,202","±434","46,345","±526","84.0%","±1.2"
"        Retail trade","36,213","±137","40,813","±160","31,587","±120","77.4%","±0.4"
"        Transportation and warehousing","49,171","±547","51,151","±212","41,040","±339","80.2%","±0.8"
"        Utilities","75,885","±787","80,341","±580","63,941","±1,830","79.6%","±2.4"
"        Information","68,823","±1,349","75,605","±699","59,907","±1,307","79.2%","±1.9"
"        Finance and insurance","66,502","±404","90,558","±507","53,629","±668","59.2%","±0.8"
"        Real estate and rental and leasing","51,322","±249","52,589","±1,129","49,564","±1,176","94.2%","±3.1"
"        Professional, scientific, and technical services","80,789","±247","93,086","±1,061","65,047","±627","69.9%","±0.9"
"        Management of companies and enterprises","74,359","±3,440","89,955","±5,206","62,154","±1,805","69.1%","±4.5"
"        Administrative and support and waste management services","36,507","±180","38,482","±546","32,730","±658","85.1%","±2.2"
"        Educational services","51,783","±144","57,400","±410","50,192","±157","87.4%","±0.6"
"        Health care and social assistance","46,211","±189","60,026","±493","42,246","±127","70.4%","±0.6"
"        Arts, entertainment, and recreation","40,678","±256","41,892","±302","37,395","±547","89.3%","±1.4"
"        Accommodation and food services","28,686","±298","31,164","±169","26,209","±175","84.1%","±0.7"
"        Other services (except public administration)","38,860","±419","42,187","±197","33,492","±755","79.4%","±1.8"
"        Public administration","61,823","±184","70,227","±356","53,296","±443","75.9%","±0.7"
"    CLASS OF WORKER","","","","","","","",""
"        Employee of private company workers","47,227","±101","51,878","±76","40,782","±80","78.6%","±0.2"
"        Self employed in own incorporated business workers","61,501","±231","67,661","±1,214","48,892","±1,187","72.3%","±2.0"
"        Private not-for-profit wage and salary workers","52,150","±157","59,055","±687","50,293","±185","85.2%","±1.0"
"        Local government workers","52,739","±275","59,346","±518","50,326","±165","84.8%","±0.8"
"        State government workers","52,469","±277","60,200","±325","49,565","±371","82.3%","±0.7"
"        Federal government workers","70,236","±315","74,720","±811","63,463","±916","84.9%","±1.6"
"        Self employed in own not incorporated business workers and unpaid family workers","39,339","±646","41,921","±178","31,273","±242","74.6%","±0.7"
"PERCENT ALLOCATED","","","","","","","",""
"    Earnings in the past 12 months","20.6%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Race","1.7%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Hispanic or Latino origin","1.7%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Educational attainment","7.9%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Occupation","13.3%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Industry","12.6%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Class of worker","11.2%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
